cluster63;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Enterobacterales
cluster64;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae
cluster66;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella1
cluster67;Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Contamination
cluster69;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Pseudomonadales
cluster7;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Enterobacterales
cluster70;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Pseudomonadales
cluster71;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Enterobacterales
cluster72;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae
cluster74;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Pseudomonadales
cluster75;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Colwelliaceae;Enterobacterales
cluster77;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Idiomarinaceae;Enterobacterales
cluster9;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Fokiniaceae;RETA3
