H2_AT20_HDM-clA3_STXAQX_ABN_4745_K	RETA2
H2_MPIMM19_B7_MPIAQ_ABN_3917_E	RETA2
H4_HW15MH_004_KWWS_ABN_1272_A	RETA1
H2_AT20_HDM-B3_STXAQX_ABN_4745_F	RETA2
H4_HW15MH_014_KWWS_ABN_1272_D	RETA1
H4_BZ15_009_TCMC-B14_ABN_1717_B	RETA1
H4_HW15MH_A01_KWWS_ABY_1272_G	RETA1
H2_MPIMM19_C1_MPIAQ_ABN_4745_G	RETA2
H2_AT20_HDM-B4_STXAQX_ABN_4745_G	RETA2
H2_MPIMM19_G2_MPIAQ_ABN_3917_V	RETA2
H2_AT20_HDM-B2_STXAQX_ABN_4745_E	RETA2
H2_AT20_HDM-F1_STXAQX_ABN_4745_N	RETA2
H2_AT20_HDM-clA2_STXAQX_ABN_4745_J	RETA2
4465_F	RETA1
SRR5311040	RETA1
H4_BZ15_055_TCFI-B087_ABN_1717_E	RETA1
H2_HW15_E5_KWCT-clE_ABN_3917_AE	RETA2
H2_MA16_073_PAPO_ABN_2181_A	RETA1
H2_MPIMM19_A2_MPIAQ_ABN_4745_B	RETA2
H4_BZ17NL_351_TCFI-83_ABN_4127_I	RETA1
H2_HW15_002_KWCT-cl6_ABN_1992_B	RETA2
H2_MPIMM19_C1_MPIAQ_ABN_3917_F	RETA2
H2_MPIMM19_C7_MPIAQ_ABN_3917_J	RETA2
H2_MA16_074_PAPO_ABN_2181_B	RETA1
H2_MPIMM19_K2_MPIAQ_ABN_4745_T	RETA2
H2_AT20_HDM-clA1_STXAQX_ABN_4745_I	RETA2
H2_MA16_075_PAPO_ABN_2181_C	RETA1
H2_MPIMM19_A1_MPIAQ_ABN_4745_A	RETA2
H3_HW15MH_A26_KWWS_ABY_1717_A	RETA1
H4_HW15MH_015_KWWS_ABN_1272_C	RETA1
H4_BZ15_106_TCFI-B010_ABN_1717_G	RETA1
H2_AT20_HDM-B1_STXAQX_ABN_4745_D	RETA2
H2_AT20_HDM-F3_STXAQX_ABN_4745_P	RETA2
H2_HW15_00B_KWCT-cl6_ABN_1966_B	RETA2
SRR5934125	RETA1
H4_BZ15_015_TCMC-B04_ABN_1717_C	RETA1
H2_HW15_00A_KWCT-cl6_ABN_1966_A	RETA2
H4_HW15MH_A12_KWWS_ABY_1272_I	RETA1
H2_AT20_HDM-clB3_STXAQX_ABN_4745_AA	RETA2
H4_HW15MH_A16_KWWS_ABY_1272_J	RETA1
SRR5934055	RETA1
H4_BZ15_024_TCMC-B025_ABN_1717_D	RETA1
H4_HW15MH_A07_KWWS_ABY_1272_L	RETA1
H2_AT20_HDM-B5_STXAQX_ABN_4745_H	RETA2
H2_MPIMM19_A6_MPIAQ_ABN_4745_F	RETA2
H4_BZ15_102_TCFI-B028_ABN_1717_F	RETA1
H2_HW15_003_KWCT-cl6_ABN_1992_C	RETA2
H2_AT20_HDM-clB2_STXAQX_ABN_4745_Z	RETA2
H2_MPIMM19_C3_MPIAQ_ABN_4745_I	RETA2
H11_MA16_078_PAAN_ABN_2181_F	RETA4
H11_MA16_077_PAAN_ABN_2181_E	RETA4
H11_MA16_076_PAAN_ABN_2181_D	RETA4
H7_BZ15_048_TCMC-B096_ABT2_1717_T	RETA3
H7_BZ15_045_TCMC-B096_ABT2_1717_S	RETA3
H8_BZ15_013_CBOH-B061_ABN_1717_H	RETA3
H7_BZ15_012_CBOH-B067_ABN_1717_N	RETA3
H7_BZ15_020_TCMC-B096_ABN_1717_O	RETA3
H7_BZ15_049_TCMC-B096_ABT2_1717_L	RETA3
H6_HW15MH_020_KWWS_ABN_1272_F	RETA3
H6_HW15MH_A03_KWWS_ABY_1272_K	RETA3
H8_BZ15_103_TCFI-B028_ABN_1717_K	RETA3
4465_D	RETA3
H6_HW15MH_007_KWWS_ABN_1272_B	RETA3
H7_BZ15_037_TCMC-B096_ABC2_1717_P	RETA3
H7_BZ15_040_TCMC-B096_ABC3_1717_Q	RETA3
H8_BZ15_101_TCFI-B028_ABN_1717_J	RETA3
H7_BZ15_011_CBOH-B067_ABN_1717_M	RETA3
H8_BZ15_014_CBOH-B061_ABN_1717_I	RETA3
H6_HW15MH_A11_KWWS_ABY_1272_H	RETA3
H7_BZ15_041_TCMC-B096_ABC2_1717_R	RETA3
4465_H	RETA3
