Tree	Tree_taxa	RefTree_taxa	Common_taxa	R-F	R-F_toYuleAvg	R-F_toUnifAvg
137	109	109	109	93.0000	0.8791	0.8785
138	109	109	109	93.0000	0.8791	0.8785
139	109	109	109	93.0000	0.8791	0.8785
140	109	109	109	93.0000	0.8791	0.8785
141	109	109	109	93.0000	0.8791	0.8785
142	109	109	109	93.0000	0.8791	0.8785
143	109	109	109	93.0000	0.8791	0.8785
144	109	109	109	93.0000	0.8791	0.8785
145	109	109	109	91.0000	0.8602	0.8596
146	109	109	109	93.0000	0.8791	0.8785
147	109	109	109	93.0000	0.8791	0.8785
148	109	109	109	93.0000	0.8791	0.8785
149	109	109	109	92.0000	0.8697	0.8691
150	109	109	109	92.0000	0.8697	0.8691
151	109	109	109	92.0000	0.8697	0.8691
152	109	109	109	93.0000	0.8791	0.8785
153	109	109	109	93.0000	0.8791	0.8785
154	109	109	109	93.0000	0.8791	0.8785
155	109	109	109	92.0000	0.8697	0.8691
156	109	109	109	93.0000	0.8791	0.8785
157	109	109	109	93.0000	0.8791	0.8785
158	109	109	109	92.0000	0.8697	0.8691
159	109	109	109	93.0000	0.8791	0.8785
160	109	109	109	93.0000	0.8791	0.8785
161	109	109	109	93.0000	0.8791	0.8785
162	109	109	109	93.0000	0.8791	0.8785
163	109	109	109	93.0000	0.8791	0.8785
164	109	109	109	93.0000	0.8791	0.8785
165	109	109	109	93.0000	0.8791	0.8785
166	109	109	109	93.0000	0.8791	0.8785
167	109	109	109	92.0000	0.8697	0.8691
168	109	109	109	93.0000	0.8791	0.8785
169	109	109	109	93.0000	0.8791	0.8785
170	109	109	109	93.0000	0.8791	0.8785
171	109	109	109	93.0000	0.8791	0.8785
172	109	109	109	93.0000	0.8791	0.8785
173	109	109	109	93.0000	0.8791	0.8785
174	109	109	109	93.0000	0.8791	0.8785
175	109	109	109	93.0000	0.8791	0.8785
176	109	109	109	92.0000	0.8697	0.8691
177	109	109	109	93.0000	0.8791	0.8785
178	109	109	109	93.0000	0.8791	0.8785
179	109	109	109	93.0000	0.8791	0.8785
180	109	109	109	93.0000	0.8791	0.8785
181	109	109	109	93.0000	0.8791	0.8785
182	109	109	109	93.0000	0.8791	0.8785
183	109	109	109	93.0000	0.8791	0.8785
184	109	109	109	92.0000	0.8697	0.8691
185	109	109	109	92.0000	0.8697	0.8691
186	109	109	109	93.0000	0.8791	0.8785
187	109	109	109	93.0000	0.8791	0.8785
188	109	109	109	92.0000	0.8697	0.8691
189	109	109	109	93.0000	0.8791	0.8785
190	109	109	109	93.0000	0.8791	0.8785
191	109	109	109	93.0000	0.8791	0.8785
192	109	109	109	93.0000	0.8791	0.8785
193	109	109	109	93.0000	0.8791	0.8785
194	109	109	109	93.0000	0.8791	0.8785
195	109	109	109	93.0000	0.8791	0.8785
196	109	109	109	93.0000	0.8791	0.8785
197	109	109	109	93.0000	0.8791	0.8785
198	109	109	109	93.0000	0.8791	0.8785
199	109	109	109	92.0000	0.8697	0.8691
200	109	109	109	93.0000	0.8791	0.8785
201	109	109	109	93.0000	0.8791	0.8785
202	109	109	109	92.0000	0.8697	0.8691
203	109	109	109	93.0000	0.8791	0.8785
204	109	109	109	91.0000	0.8602	0.8596
205	109	109	109	93.0000	0.8791	0.8785
206	109	109	109	93.0000	0.8791	0.8785
207	109	109	109	93.0000	0.8791	0.8785
208	109	109	109	92.0000	0.8697	0.8691
209	109	109	109	93.0000	0.8791	0.8785
210	109	109	109	93.0000	0.8791	0.8785
211	109	109	109	93.0000	0.8791	0.8785
